id: 41022572 	pid: 40959223 	ts: 2010-03-22T07:22
id: 41027325 	pid: None 	ts: 2010-03-22T09:28
id: 41035706 	pid: None 	ts: 2010-03-22T11:34
id: 41051335 	pid: None 	ts: 2010-03-22T14:20
id: 41054955 	pid: None 	ts: 2010-03-22T14:40
id: 41056998 	pid: 40960813 	ts: 2010-03-22T14:51
id: 41080163 	pid: None 	ts: 2010-03-22T17:19
id: 41080457 	pid: None 	ts: 2010-03-22T17:21
id: 41090010 	pid: None 	ts: 2010-03-22T18:31
id: 41092590 	pid: None 	ts: 2010-03-22T18:50
id: 41099861 	pid: None 	ts: 2010-03-22T19:48
id: 41115804 	pid: None 	ts: 2010-03-22T21:28
id: 41118018 	pid: None 	ts: 2010-03-22T21:48
id: 41131634 	pid: None 	ts: 2010-03-22T23:13
id: 41152768 	pid: 41118018 	ts: 2010-03-23T02:01
id: 41159343 	pid: None 	ts: 2010-03-23T03:07
id: 41161171 	pid: None 	ts: 2010-03-23T03:23
id: 41164068 	pid: 40959858 	ts: 2010-03-23T03:49
id: 41174078 	pid: None 	ts: 2010-03-23T06:50
id: 41178634 	pid: 41152768 	ts: 2010-03-23T09:10
id: 41180450 	pid: None 	ts: 2010-03-23T10:09
id: 41184504 	pid: 40960601 	ts: 2010-03-23T11:06
id: 41185898 	pid: None 	ts: 2010-03-23T11:30
id: 41190399 	pid: 40959213 	ts: 2010-03-23T12:22
id: 41190514 	pid: None 	ts: 2010-03-23T12:24
id: 41190817 	pid: 41174078 	ts: 2010-03-23T12:29
id: 41191621 	pid: None 	ts: 2010-03-23T12:40
id: 41197871 	pid: None 	ts: 2010-03-23T13:47
id: 41214328 	pid: None 	ts: 2010-03-23T15:14
id: 41221662 	pid: None 	ts: 2010-03-23T16:07
id: 41226948 	pid: None 	ts: 2010-03-23T16:51
id: 41252061 	pid: None 	ts: 2010-03-23T19:45
id: 41254995 	pid: None 	ts: 2010-03-23T20:05
id: 41266246 	pid: None 	ts: 2010-03-23T21:30
id: 41269972 	pid: 41027325 	ts: 2010-03-23T22:02
id: 41275375 	pid: None 	ts: 2010-03-23T22:45
id: 41281848 	pid: None 	ts: 2010-03-23T23:06
id: 41295450 	pid: 41266246 	ts: 2010-03-23T23:37
id: 41301002 	pid: None 	ts: 2010-03-24T00:01
id: 41305155 	pid: None 	ts: 2010-03-24T00:30
id: 41305810 	pid: 41197871 	ts: 2010-03-24T00:35
id: 41305953 	pid: None 	ts: 2010-03-24T00:36
id: 41307203 	pid: None 	ts: 2010-03-24T00:42
id: 41328255 	pid: None 	ts: 2010-03-24T03:44
id: 41330190 	pid: None 	ts: 2010-03-24T04:07
id: 41330661 	pid: None 	ts: 2010-03-24T04:13
id: 41332021 	pid: None 	ts: 2010-03-24T04:25
id: 41332248 	pid: None 	ts: 2010-03-24T04:27
id: 41332313 	pid: None 	ts: 2010-03-24T04:28
id: 41332423 	pid: None 	ts: 2010-03-24T04:30
id: 41332681 	pid: None 	ts: 2010-03-24T04:33
id: 41334235 	pid: None 	ts: 2010-03-24T04:47
id: 41337562 	pid: 41305155 	ts: 2010-03-24T05:44
id: 41340137 	pid: None 	ts: 2010-03-24T06:44
id: 41344037 	pid: 41269972 	ts: 2010-03-24T08:32
id: 41345882 	pid: None 	ts: 2010-03-24T09:25
id: 41354882 	pid: 40960588 	ts: 2010-03-24T11:52
id: 41373789 	pid: None 	ts: 2010-03-24T14:43
id: 41376499 	pid: None 	ts: 2010-03-24T14:59
id: 41383742 	pid: None 	ts: 2010-03-24T15:35
id: 41413752 	pid: None 	ts: 2010-03-24T18:36
id: 41417321 	pid: None 	ts: 2010-03-24T18:58
id: 41444114 	pid: None 	ts: 2010-03-24T21:29
id: 41471944 	pid: None 	ts: 2010-03-25T01:11
id: 41475717 	pid: None 	ts: 2010-03-25T01:51
id: 41477968 	pid: None 	ts: 2010-03-25T02:13
id: 41489807 	pid: None 	ts: 2010-03-25T04:27
id: 41495711 	pid: None 	ts: 2010-03-25T05:59
id: 41502471 	pid: None 	ts: 2010-03-25T09:02
id: 41505717 	pid: None 	ts: 2010-03-25T10:06
id: 41518534 	pid: None 	ts: 2010-03-25T12:20
id: 41526468 	pid: None 	ts: 2010-03-25T13:29
id: 41528700 	pid: 41295450 	ts: 2010-03-25T13:46
id: 41537307 	pid: None 	ts: 2010-03-25T14:41
id: 41541465 	pid: 41344037 	ts: 2010-03-25T15:13
id: 41549839 	pid: 41337562 	ts: 2010-03-25T16:07
id: 41551115 	pid: None 	ts: 2010-03-25T16:16
id: 41554802 	pid: None 	ts: 2010-03-25T16:43
id: 41568452 	pid: None 	ts: 2010-03-25T19:33
id: 41569156 	pid: None 	ts: 2010-03-25T19:38
id: 41570567 	pid: None 	ts: 2010-03-25T19:49
id: 41575325 	pid: None 	ts: 2010-03-25T20:24
id: 41579237 	pid: None 	ts: 2010-03-25T20:54
id: 41583927 	pid: None 	ts: 2010-03-25T21:36
id: 41585281 	pid: 41569156 	ts: 2010-03-25T21:50
id: 41610819 	pid: None 	ts: 2010-03-26T01:01
id: 41614814 	pid: None 	ts: 2010-03-26T01:41
id: 41627406 	pid: 41570567 	ts: 2010-03-26T03:42
id: 41635446 	pid: 41518534 	ts: 2010-03-26T05:23
id: 41702084 	pid: 41585281 	ts: 2010-03-26T11:11
id: 41765476 	pid: None 	ts: 2010-03-26T15:14
id: 41777291 	pid: None 	ts: 2010-03-26T16:40
id: 41780920 	pid: None 	ts: 2010-03-26T17:05
id: 41783824 	pid: None 	ts: 2010-03-26T17:18
id: 41790763 	pid: None 	ts: 2010-03-26T17:53
id: 41791597 	pid: None 	ts: 2010-03-26T17:58
id: 41792773 	pid: None 	ts: 2010-03-26T18:04
id: 41802999 	pid: None 	ts: 2010-03-26T19:00
id: 41803238 	pid: 41568452 	ts: 2010-03-26T19:01
id: 41810566 	pid: None 	ts: 2010-03-26T19:44
id: 41819272 	pid: None 	ts: 2010-03-26T20:47
id: 41834322 	pid: None 	ts: 2010-03-26T22:45
id: 41834460 	pid: None 	ts: 2010-03-26T22:46
id: 41842020 	pid: None 	ts: 2010-03-27T00:13
id: 41842461 	pid: None 	ts: 2010-03-27T00:19
id: 41842801 	pid: None 	ts: 2010-03-27T00:24
id: 41843233 	pid: None 	ts: 2010-03-27T00:30
id: 41854378 	pid: None 	ts: 2010-03-27T02:34
id: 41873544 	pid: None 	ts: 2010-03-27T07:59
id: 41877444 	pid: None 	ts: 2010-03-27T10:18
id: 41898547 	pid: None 	ts: 2010-03-27T16:37
id: 41902958 	pid: None 	ts: 2010-03-27T17:23
id: 41906740 	pid: None 	ts: 2010-03-27T17:57
id: 41923130 	pid: None 	ts: 2010-03-27T21:16
id: 41936939 	pid: None 	ts: 2010-03-27T23:29
id: 41938367 	pid: None 	ts: 2010-03-27T23:42
id: 41939773 	pid: None 	ts: 2010-03-28T00:03
id: 41940521 	pid: None 	ts: 2010-03-28T00:13
id: 41952528 	pid: 41873544 	ts: 2010-03-28T02:56
id: 41952924 	pid: 41877444 	ts: 2010-03-28T03:02
id: 41959438 	pid: None 	ts: 2010-03-28T04:18
id: 41961109 	pid: None 	ts: 2010-03-28T04:47
id: 41961550 	pid: None 	ts: 2010-03-28T04:52
id: 41967922 	pid: None 	ts: 2010-03-28T06:45
id: 41993482 	pid: None 	ts: 2010-03-28T13:40
id: 41995323 	pid: 41854378 	ts: 2010-03-28T14:12
id: 41999460 	pid: None 	ts: 2010-03-28T15:15
id: 42000608 	pid: None 	ts: 2010-03-28T15:32
id: 42011016 	pid: None 	ts: 2010-03-28T17:54
id: 42015635 	pid: None 	ts: 2010-03-28T18:56
id: 42042485 	pid: None 	ts: 2010-03-28T22:26
id: 42045611 	pid: None 	ts: 2010-03-28T22:46
id: 42052631 	pid: None 	ts: 2010-03-28T23:48
id: 42053153 	pid: None 	ts: 2010-03-28T23:56
id: 42057533 	pid: None 	ts: 2010-03-29T01:04
id: 42060166 	pid: None 	ts: 2010-03-29T01:45
id: 42064034 	pid: None 	ts: 2010-03-29T02:47
id: 42072056 	pid: None 	ts: 2010-03-29T05:14
id: 42075241 	pid: None 	ts: 2010-03-29T06:28
id: 42076077 	pid: None 	ts: 2010-03-29T06:49
id: 42079065 	pid: None 	ts: 2010-03-29T08:09
id: 42079986 	pid: None 	ts: 2010-03-29T08:35
id: 42080709 	pid: 42045611 	ts: 2010-03-29T08:55
id: 42082505 	pid: None 	ts: 2010-03-29T09:44
id: 42083224 	pid: None 	ts: 2010-03-29T10:04
id: 42084048 	pid: None 	ts: 2010-03-29T10:25
id: 42085945 	pid: None 	ts: 2010-03-29T11:13
id: 42093463 	pid: 42080709 	ts: 2010-03-29T13:16
